Country,meat less than 1/wk,short chain importance(o),circular info available(o),using renewable energy(o),companies replaning energy use(o),companies Redesigning products(o),funding awareness(o),Circular company actions(o),easy to eat healthy(o),pop density,obesity,perceived health(o),median age,Population,Self suffeciency importance(o),importance of food origin(o),importance of food qlty(o),self blame for food waste(o),rail infrastructure,inland water transport,road 2000 6000,road 500 2000,road 300 500,road 150 300,road 50 150,road 0 50,road food transport,rail food transport,agr emissions,2010 ,fertilizer sales,pesticide sales,Processors(I),Agr producers,Exporters(I),Importers,per_1000_Crop_production,per_1000_Farm_Trained_Staff,per_1000_kitchen_gardens,organic farming percentage,Recycling rate of municipal waste,investments per gdp,municipal_waste_per_capita,GDP per capita,Recycling rate of packaging,Recycled biowaste per capita
BEL,3.0,92.0,12.0,19.0,28.0,22.0,30.0,46.0,70.0,370.325,14.7,29.88750000000001,41.7,10856332.0,31.0,56.0,62.0,82.0,0.04052934269143575,0.0022413954670263705,0.06103350560760301,0.05604102748515797,0.34893921814476564,0.0754029998345666,0.06828273122082118,6.46249580429191,1.1824159393798936,0.20777735979334447,0.6065759595413994,,,144.03472349388153,5.0120980087933935,0.1513747921489505,0.00338512123615969,0.01920538170719171,0.4508718966958637,32.91258962972024,,,,,,,,
DNK,2.0,79.0,7.0,8.0,27.0,22.0,24.0,32.0,71.0,133.3125,17.0,27.05,41.9,5542668.0,27.0,62.0,58.0,85.0,,,0.005773392885880952,0.5820121284551051,4.356042974249947,67.67372680449199,0.6543779999090691,1.1835094579000582,227.87661906584407,1.5512385010251382,77.91945070496736,197000 ,61.80653633071854,1266.675042095652,2.0639578869478257,0.4534819693331804,0.015786621172330727,0.012938585842465343,51.38390813473463,49.858660125412534,0.0,6.642999999999999,43.5111111111111,0.0911111111111111,765.7777777777777,44921.5,64.10526315789473,126.0
DEU,7.0,89.0,11.0,29.0,34.0,27.0,58.0,39.0,73.0,229.0625,24.4,17.7,46.0,81841956.0,28.0,74.0,67.0,82.0,,0.0020124152457939785,0.004070039577255461,0.010999248356185426,0.07430540882967168,0.030000504875518863,0.21030289158778168,0.1547946874583496,0.2152282381911791,0.0008699694323043794,0.07502711689833022,1785000 ,19.060517077573266,7.375161789469775,0.007300656401711611,0.03928761184544514,0.0001038587103172363,9.927670839147588e-05,0.11212696333895047,85.3251845544845,0.12731856017712967,5.527499999999999,61.926315789473676,0.08799999999999998,610.2105263157895,32148.5,71.13157894736842,101.52631578947368
GRC,15.0,84.0,8.0,5.0,23.0,24.0,39.0,31.0,66.0,82.875,17.3,46.15,44.9,10960080.0,63.0,90.0,78.0,66.0,3.4181522600402747,,0.01849439055189378,0.16105721856044847,1.8344847847825927,2.5389686936591698,0.6925770614813029,1.3505284632958885,22.238450814227637,0.2999156940460289,6.949153473332312,196000 ,54.07639968564706,2732.312051250234,0.3440896416814476,0.15797101845971928,0.009009970730140657,0.0002433072264679333,0.19996295647477028,4.040116495500033,13.476179005992654,6.654999999999999,14.494444444444447,0.04000000000000002,465.5,18898.5,48.8,9.166666666666666
ESP,5.0,88.0,4.0,7.0,21.0,21.0,26.0,33.0,76.0,92.825,14.1,19.1625,44.0,45217528.0,47.0,66.0,63.0,75.0,0.06464583822450444,,0.005720495527014805,0.03810469249889114,0.01047381449069927,0.07721784348759622,0.2637273758087793,0.06382259552092277,0.4329692680236744,0.06553874417902722,1.4501546833785344,965000 ,3.9215250039026164,58.23316273872086,0.01991207922732972,0.0934261598732244,3.8701806078386244e-05,0.0004284842815821334,1.0061457190278562,34.55164554771769,1.0560064229959674,5.7345000000000015,30.51578947368421,0.08900000000000001,540.4736842105264,23210.0,57.94210526315789,81.6842105263158
FRA,10.0,89.0,5.0,12.0,22.0,31.0,25.0,48.0,65.0,104.5875,15.4,23.3375,41.8,64534796.0,41.0,75.0,62.0,89.0,1.064838616010235,0.14026231678178694,0.0009806448336137034,0.0,4.958565298633624e-05,0.0005082529431099464,0.02921524691888698,0.027535532923974843,0.31258761208105124,0.015309570359531312,0.09060732135885267,2161000 ,5.1238404782437055,14.280340717277547,0.2044691518045552,0.42418976578154827,,0.0013093711491704411,0.042912061132278335,219.92802146612502,0.4217879607150226,3.0321052631578933,34.44736842105263,0.11,526.0526315789474,30931.0,57.426315789473676,81.0
IRL,7.0,87.0,6.0,13.0,40.0,34.0,38.0,69.0,70.0,68.55,15.2,43.31250000000001,37.7,4441628.0,49.0,79.0,76.0,71.0,0.7433585663234792,,0.0038274254395010117,,4.457532238179335,8.176664052009759,122.41324577384691,10.269275139656001,4.645616427129871,0.28253154023704824,8.583608532727188,355000 ,2310.300997742269,50.67781453106834,0.01384627438407719,0.9305146671445697,0.0006432647797480692,0.0014915702080408356,0.5340909534371931,312.34943583749026,0.18686841851681413,1.1357894736842105,30.58125,,666.5625,41646.5,57.8578947368421,21.75
ITA,16.0,90.0,4.0,6.0,19.0,12.0,44.0,23.0,57.0,203.225,10.3,13.5375,46.7,59081270.0,32.0,88.0,61.0,53.0,0.03639619346932342,0.0045615133188572285,0.0011306459729115506,0.3192636177252114,0.5610441346301459,1.1446944183833558,0.14224643444529886,1.436878388023819,2.792170852116077,0.19879735151258604,0.0233259880838716,589000 ,16.65158104346023,31.122923982507487,0.0009922772479332284,0.017116253594413256,0.0011823906774032255,0.02115941312703671,0.020035926783564403,29.433693622361197,4.093513900429019,9.649499999999998,30.031578947368413,0.13500000000000004,520.9473684210526,27106.5,59.24736842105262,59.21052631578947
LUX,8.0,92.0,16.0,22.0,31.0,35.0,38.0,56.0,68.0,217.75,16.0,24.175,39.5,511086.0,40.0,66.0,73.0,84.0,23.24244625931621,41.51688756882403,1.0884665203116501,2.397052550842715,3.8701901441244715,1.5332057618482997,8.379020360565539,1.8018493952094168,203.4632136274521,3.641657177070004,13.38835929765245,,,1180.3579915013215,1.2304680621265305,0.7819949414906037,0.0013044119124113488,0.02217500251099293,1.1605504966113551,180.49799837992038,0.4108897524095749,2.87,44.76315789473685,,653.4736842105264,78506.0,62.67894736842104,121.42105263157896
NLD,4.0,82.0,9.0,10.0,24.0,22.0,38.0,46.0,79.0,499.625,12.7,22.500000000000004,42.7,16597484.0,21.0,47.0,52.0,86.0,,0.2894414599224798,0.002644979202871953,0.027311368397764383,0.17896688437837927,0.4356503672484335,0.6820913338431295,0.5149937183250184,1.6497982465294136,0.04034346410576446,23.56552920912591,233000 ,6.37123072388562,5.403108085538748,3.1253532161862605,1.3576756573466195,0.057629216572825125,0.011070955091747641,0.00044216875816171223,15.302921816342769,,,,,,,,
